EmployeeID,Role,Department,hour_of_day,IsAfterHours,QueryType,RowsExamined,RowsReturned,ExecutionTime,QueryLength,IsSensitive,QueriesPerDay,RowsExaminedPerDay,DistinctTablesAccessedPerDay,SessionDurationMinutes
23,User,IT,22,1,SELECT,79,85,8.92041,1275,True,3,252,3,420.0
23,User,IT,22,1,SELECT,82,96,12.7411,1129,True,3,252,3,420.0
23,User,IT,22,1,SELECT,91,47,8.1582,1129,True,3,252,3,420.0
5,Design_DBA,Design,8,0,UPDATE,87,80,1.6738498273816278,79,True,3,163,1,0.0
5,Design_DBA,Design,8,0,DELETE,21,77,0.5276980120725326,176,False,3,163,1,0.0
5,Design_DBA,Design,9,0,DELETE,55,83,1.5245383625059912,79,False,3,163,1,0.0
13,Marketing_Admin,Marketing,9,0,SELECT,78,57,0.9606337486847799,159,False,7,411,1,0.0
13,Marketing_Admin,Marketing,9,0,DELETE,68,86,1.9535513108148181,114,False,7,411,1,0.0
13,Marketing_Admin,Marketing,9,0,UPDATE,69,18,0.8261751501083533,37,True,7,411,1,0.0
13,Marketing_Admin,Marketing,9,0,DELETE,50,76,0.148970635207646,109,False,7,411,1,0.0
13,Marketing_Admin,Marketing,9,0,UPDATE,62,88,1.1473358393030917,172,False,7,411,1,0.0
13,Marketing_Admin,Marketing,9,0,UPDATE,73,37,0.4199268888878731,155,False,7,411,1,0.0
13,Marketing_Admin,Marketing,9,0,INSERT,11,40,1.5359272207577563,36,False,7,411,1,0.0
11,IT_User,IT,9,0,DELETE,81,89,0.319795091934851,159,True,4,249,1,0.0
11,IT_User,IT,9,0,DELETE,67,19,1.1032213732475629,130,True,4,249,1,0.0
11,IT_User,IT,9,0,DELETE,62,13,1.8922421894645254,133,False,4,249,1,0.0
11,IT_User,IT,9,0,UPDATE,39,68,0.8349577069331605,50,False,4,249,1,0.0
8,IT_User,IT,9,0,UPDATE,46,70,1.2512410567487422,73,False,7,256,1,0.0
8,IT_User,IT,9,0,DELETE,60,21,0.27924527412223143,176,False,7,256,1,0.0
8,IT_User,IT,9,0,SELECT,33,100,1.4047919830932571,137,False,7,256,1,0.0
8,IT_User,IT,9,0,UPDATE,7,24,0.5966312242233774,66,True,7,256,1,0.0
8,IT_User,IT,9,0,UPDATE,8,31,0.7759015543186762,52,False,7,256,1,0.0
8,IT_User,IT,9,0,INSERT,12,37,1.7194083030344527,110,False,7,256,1,0.0
8,IT_User,IT,9,0,DELETE,90,47,1.6193653450558683,115,True,7,256,1,0.0
14,Finance_DBA,Finance,9,0,SELECT,75,48,1.8806067454044355,33,False,7,361,1,0.0
14,Finance_DBA,Finance,9,0,DELETE,54,49,1.1316730079041437,125,False,7,361,1,0.0
14,Finance_DBA,Finance,9,0,UPDATE,25,22,0.7263803318954841,85,False,7,361,1,0.0
14,Finance_DBA,Finance,9,0,SELECT,36,32,1.0221124637713874,135,False,7,361,1,0.0
14,Finance_DBA,Finance,9,0,UPDATE,85,50,0.7331836420347811,156,False,7,361,1,0.0
14,Finance_DBA,Finance,9,0,DELETE,47,8,1.2680637448090286,161,False,7,361,1,0.0
14,Finance_DBA,Finance,9,0,DELETE,39,92,0.5288994833606541,103,False,7,361,1,0.0
9,Marketing_DBA,Marketing,9,0,INSERT,72,30,0.7030817359043506,143,False,7,415,1,0.0
9,Marketing_DBA,Marketing,9,0,INSERT,61,66,1.32364784673291,143,False,7,415,1,0.0
9,Marketing_DBA,Marketing,9,0,INSERT,52,51,0.47049651998013775,95,False,7,415,1,0.0
9,Marketing_DBA,Marketing,9,0,SELECT,29,47,0.8020537163513147,102,False,7,415,1,0.0
9,Marketing_DBA,Marketing,9,0,INSERT,34,54,0.315866683274179,60,False,7,415,1,0.0
9,Marketing_DBA,Marketing,9,0,UPDATE,73,74,0.9305718612563011,124,True,7,415,1,0.0
9,Marketing_DBA,Marketing,9,0,SELECT,94,1,1.5875652029600171,85,False,7,415,1,0.0
1,Finance_Admin,Finance,9,0,SELECT,30,42,0.2607388352794445,47,False,7,331,1,0.0
1,Finance_Admin,Finance,9,0,UPDATE,83,52,1.3776219701832844,143,False,7,331,1,0.0
1,Finance_Admin,Finance,10,0,UPDATE,14,85,0.5297211298599984,26,False,7,331,1,0.0
1,Finance_Admin,Finance,10,0,UPDATE,68,94,0.8364999980794072,40,False,7,331,1,0.0
1,Finance_Admin,Finance,10,0,DELETE,41,25,1.4890255553940956,114,False,7,331,1,0.0
1,Finance_Admin,Finance,10,0,SELECT,47,87,1.6670035035734407,174,False,7,331,1,0.0
1,Finance_Admin,Finance,10,0,INSERT,48,6,0.8796434350606747,129,False,7,331,1,0.0
4,Finance_DBA,Finance,10,0,INSERT,75,40,1.8082849800235354,25,False,6,345,1,0.0
4,Finance_DBA,Finance,10,0,SELECT,74,98,0.7474252579831754,144,False,6,345,1,0.0
4,Finance_DBA,Finance,10,0,INSERT,33,65,1.7273597136462333,190,False,6,345,1,0.0
4,Finance_DBA,Finance,10,0,DELETE,80,87,0.13097678887527764,27,False,6,345,1,0.0
4,Finance_DBA,Finance,14,0,DELETE,12,2,0.9970303754802002,124,False,6,345,1,0.0
4,Finance_DBA,Finance,14,0,SELECT,71,39,1.5180199921386732,131,False,6,345,1,0.0
3,Design_User,Design,14,0,UPDATE,81,23,0.3979574580261652,80,True,3,176,1,0.0
3,Design_User,Design,14,0,DELETE,35,80,1.516437475941544,200,True,3,176,1,0.0
3,Design_User,Design,14,0,DELETE,60,56,1.1665098579078028,86,False,3,176,1,0.0
7,HR_super_user,HR,14,0,SELECT,53,12,1.036572573080335,109,False,7,322,1,0.0
7,HR_super_user,HR,14,0,INSERT,25,8,0.46612219692862655,50,False,7,322,1,0.0
7,HR_super_user,HR,14,0,DELETE,28,70,1.2754831949904235,120,False,7,322,1,0.0
7,HR_super_user,HR,14,0,INSERT,51,74,0.5157695555680922,81,False,7,322,1,0.0
7,HR_super_user,HR,14,0,UPDATE,36,69,0.14327282516075418,79,False,7,322,1,0.0
7,HR_super_user,HR,14,0,DELETE,76,72,0.14072598402371017,179,True,7,322,1,0.0
7,HR_super_user,HR,14,0,SELECT,53,50,1.8018832304788006,77,False,7,322,1,0.0
19,Finance_User,Finance,14,0,DELETE,82,29,1.54535867087363,67,False,8,420,1,0.0
19,Finance_User,Finance,14,0,UPDATE,51,48,0.9854481489093673,113,False,8,420,1,0.0
