AuthLogID,EmployeeID,LoginTime,LogoutTime,SourceIP,DeviceInfo,LoginStatus,FailureReason,Labels
506,5,2026-01-30 11:36:23.417,2026-01-30 13:02:23.417,192.168.3.47,Router,Success,,0
507,13,2026-01-25 08:04:17.890,2026-01-25 16:04:27.173,192.168.3.173,SmartTV,Success,,0
508,11,2026-01-27 08:31:23.417,2026-01-27 09:00:23.417,192.168.2.109,Router,Success,,0
509,8,2024-06-02 01:23:51.123,2024-06-02 04:12:32.173,192.168.2.231,Smartphone,FAIL,Logged in using VPN,1
510,14,2024-06-02 01:23:51.123,2024-06-02 04:12:32.173,192.168.0.132,Desktop,FAIL,Logged in using VPN,1
511,9,2026-01-28 11:17:23.417,2026-01-28 11:34:23.417,192.168.0.173,Router,Success,,0
512,1,2026-01-29 07:14:23.417,2026-01-29 07:22:23.417,192.168.2.177,SmartTV,Success,,0
513,4,2026-01-29 15:07:23.417,2026-01-29 15:54:23.417,192.168.3.47,SmartTV,Success,,0
514,3,2024-06-02 01:23:51.123,2024-06-02 04:12:32.173,192.168.1.161,Laptop,FAIL,Logged in using VPN,1
515,7,2026-01-29 18:36:23.417,2026-01-29 20:09:23.417,192.168.0.165,Laptop,Success,,0
516,19,2026-01-24 17:32:23.417,2026-01-24 19:08:23.417,192.168.3.168,Router,Success,,0
517,16,2026-01-30 10:27:23.417,2026-01-30 10:51:23.417,192.168.2.177,Smartphone,Success,,0
518,20,2026-01-24 18:05:23.417,2026-01-24 18:50:23.417,192.168.2.73,Smartphone,Success,,0
519,10,2026-01-27 13:19:23.417,2026-01-27 13:57:23.417,192.168.2.91,Desktop,Success,,0
520,17,2026-01-26 11:48:23.417,2026-01-26 12:02:23.417,192.168.2.18,Tablet,Success,,0
521,18,2026-01-24 07:15:23.417,2026-01-24 08:41:23.417,192.168.1.18,Laptop,Success,,0
522,6,2024-06-02 01:23:51.123,2024-06-02 04:12:32.173,192.168.3.30,Server,Success,,1
523,12,2026-01-25 08:04:17.890,2026-01-25 16:04:27.173,192.168.1.147,Desktop,Success,,0
524,15,2026-01-25 08:04:17.890,2026-01-25 16:04:27.173,192.168.2.1,Desktop,Success,,0
525,2,2026-01-30 09:30:23.417,2026-01-30 10:13:23.417,192.168.0.152,Desktop,Success,,0
526,21,2026-01-27 13:49:23.417,2026-01-27 14:36:23.417,192.168.1.40,Laptop,Success,,0
527,22,2026-01-31 02:15:00.000,2026-01-31 04:45:00.000,192.168.3.196,Desktop,Success,,1
528,23,2026-01-04 21:00:00.000,2026-01-05 04:00:00.000,192.168.0.136,Desktop,Success,,1
529,24,2026-01-10 08:46:00.000,2026-01-10 09:52:00.000,192.168.1.225,SmartTV,SUCCESS,,0
530,24,2026-01-25 16:39:00.000,2026-01-25 17:13:00.000,192.168.0.130,SmartTV,SUCCESS,,0
